title,summary,free,genre,installs,ratings,price,size,contentRating,reviews,released,adSupported,sale,score,similarApps,version
Nigeria Weather,Five (5) days weather forecasts for all Nigeria cities in seven (7) languages,True,Weather,"1,000+",11.0,0.0,9.6M,Rated for 3+,5.0,"Feb 22, 2016",True,False,4.090909,"['com.ebot64.igbocalendar', 'naijanews.app', 'com.nigeria.newspapers.rss', 'punchmobile.punchng', 'com.app.thrilliantnigeriatvc']",5.0.3.0
Daily Nigeria Weather Forecast,Daily Nigeria Weather Forecast & Weather Updates,True,Weather,500+,8.0,0.0,46M,Rated for 3+,5.0,"Dec 1, 2020",True,False,3.25,"['com.uae.ncms', 'com.sky.personalweatherman']",1.0
Emmanuella Funny Videos 2020,Watch & Enjoy the Latest Emmanuella Comedy & All Nigeria Comedy Videos of 2020,True,Comics,"1,000,000+",4152.0,0.0,6.7M,Rated for 3+,1987.0,"Jun 25, 2017",True,False,4.166265,"['com.vskit.lite', 'com.afapp.jah_prayzah', 'com.yomobigroup.chat', 'com.showmax.app']",4.1.1
Mu Sha Dariya,"hausa jokes, asha dariya lafiya",True,Comics,"50,000+",161.0,0.0,4.3M,Rated for 3+,58.0,"Aug 24, 2017",True,False,4.28,"['com.sadiksalihu.tsarki', 'com.sadiksalihu.littafinhisnulmuslim', 'ru.omdevelopment.ref.quranhausa.free']",18.11
Fagen Nishadi Da Barkwanci,Labaran Ban Dariya Da Labaran Nisha Dana Barkwanci,True,Comics,"10,000+",32.0,0.0,3.8M,Rated for 3+,14.0,"Jun 8, 2018",True,False,4.5,['com.sadiksalihu.littafinhisnulmuslim'],9.3
Arewa Kaftans,wannan Manhajar Tana dauke ne Sabin Kaftani Kama daga na Yara zuwa manyan Mutane,True,Photography,"10,000+",31.0,0.0,19M,Rated for 3+,10.0,"Apr 1, 2020",True,False,4.7419353,"['com.sadiksalihu.tsarki', 'com.aaarsoftware.fassararlittafinarbaunanawawihausa', 'com.hasbi', 'com.sadiksalihu.fassararlittafinahdhari', 'com.naij.hausa']",3.0
Na Nigeria Wallpapers,"Cool Nigerian wallpaper images for your phone, phablet or tablet.",True,Photography,100+,,0.0,8.9M,Rated for 3+,0.0,"Mar 19, 2014",,False,0.0,"['com.ss.launcher2.key', 'net.pierrox.lightning_launcher_extreme', 'com.ss.squarehome.key', 'xyz.arjunsinh.elderlauncher', 'com.displaynote.SpotClientApp']",1.0.1
NIGERIA ZIP CODES,ALL NIGERIA ZIP/POST CODES. YOU NOW HAVE IT ALL IN THIS OFFLINE COMPILATION.,True,Libraries & Demo,"10,000+",67.0,0.0,6.6M,Rated for 3+,45.0,"Mar 11, 2017",,False,4.283582,"['com.hqbytes.cca', 'com.pledge51.nigerianconstitution', 'com.ngnrates', 'com.app.Abokifx', 'ng.verifyme.agent']",64.0.0
Hausa Jokes,"Labaran abin dariya, nishadi da barkwanci domin jin dadinku. Ayi karatu lafiya..",True,Comics,"10,000+",29.0,0.0,6.0M,Rated for 3+,9.0,"Oct 9, 2017",True,False,4.551724,"['com.sadiksalihu.littafinhisnulmuslim', 'com.sadiksalihu.fassararlittafinahdhari', 'com.aaarsoftware.fassararlittafinarbaunanawawihausa', 'land.dict.dparha1.free', 'com.sourcecodetranslator.hausaarabic']",6.7
UWA,"Uni life, sorted.",True,Education,"5,000+",21.0,0.0,120M,Rated for 3+,8.0,"Jul 17, 2019",,False,3.857143,"['pro.eventlive', 'com.talentoz.www.talentoz']",7.4.1
Naija Comedy Videos :  Trending Nigerian Videos,Naija Comedy Watch Everyday Viral and Trending Nigerian Comedy and Fun Videos,True,Comics,100+,,0.0,4.0M,Rated for 3+,0.0,"Apr 4, 2020",True,False,0.0,"['online.naijaworld.app', 'com.vskit.lite', 'ma.safe.bnnigeria', 'naijanews.app', 'com.nigeria.news']",1
CATHOLIC MISSAL FOR NIGERIA,365 CATHOLIC DAILY READINGS FOR NIGERIA,True,Books & Reference,"500,000+",14062.0,0.0,8.1M,Rated for 3+,7633.0,"Oct 4, 2016",True,False,4.435574,"['com.catholicdailyreading', 'com.obtech.missalfornigeria', 'com.catholichymnbook', 'com.stones.christianDaily', 'com.cantcha.imissal']",1.0.42
Nigerian Constitution,"Know your rights, discuss with others and be enlighten. Download this app now!",True,Books & Reference,"500,000+",2131.0,0.0,1.2M,Rated for 3+,609.0,"Mar 5, 2012",,False,4.4766355,"['com.hymnals.sourcecodings.cshymns', 'com.interswitchng.www', 'com.stanbicibtc.mobile', 'com.historyisfun.nigeriahistory', 'com.appzonegroup.fcmb']",2.1.2.1
Yoruba Bible (Bibeli Mimo) + English KJV Bible,"Yoruba Bible (Bibeli Mimo) with English KJV translation, Offline",True,Books & Reference,"500,000+",11015.0,0.0,8.3M,Rated for 3+,6399.0,"Apr 3, 2015",True,False,4.6143374,,5.6.8
LITAFIN HISNUL MUSLIM DA HAUSA,Wannan fassarar littafin Hisnul Muslim ne cikin harshen Hausa.,True,Books & Reference,"100,000+",412.0,0.0,1.2M,Rated for 3+,182.0,"Aug 7, 2016",,False,4.74,"['com.sadiksalihu.fassararlittafinahdhari', 'com.sadiksalihu.sallah', 'com.sadiksalihu.tsarki', 'com.saifmanstudio.TuranciASaukake', 'com.aaarsoftware.fassararlittafinarbaunanawawihausa']",1.0
Catholic Hymn Book,Get offline Catholic Hymns and Order of Mass directly from your phone for guide.,True,Books & Reference,"100,000+",1127.0,0.0,3.9M,Rated for 3+,614.0,"Aug 3, 2017",True,False,4.232143,"['com.catholicdailyreading', 'com.catholichymnbook', 'com.obtech.missalfornigeria', 'com.obtech.catholicmissalcombined', 'com.mycatholicapp.androidtips']",1.4
Devotional Bible  Multi-Versions(Offline),Devotional bible brings to you God's Word in multiple versions verse by verse,True,Books & Reference,"500,000+",24393.0,0.0,19M,Rated for 3+,15718.0,"Jul 8, 2017",True,False,4.6886177,"['me.xizzhu.android.joshua', 'bible.and.strongs.concordance', 'king.james.bible.study', 'theological.bible.dictionary.offline', 'study.bible.with.reference.and.commentary']",6.5.4
English Hausa Dictionary,Both English to Hausa and Hausa to English Dictionary Offline,True,Books & Reference,"100,000+",1312.0,0.0,21M,Rated for 3+,613.0,"Sep 7, 2016",True,False,4.5114503,"['com.learnsolo.hausadictionaryoffline', 'com.dictionary.ha', 'en.ha.bestdict', 'com.hdictionary.yo', 'land.dict.dparha1.free']",8.4.1
Fassarar Littafin Ahdhari,Wannan fassarar littafin Ahdhari ne wanda ke bayani kan ibada a Musulunci.,True,Books & Reference,"100,000+",445.0,0.0,1.2M,Rated for 3+,203.0,"Oct 16, 2016",,False,4.65,"['com.sadiksalihu.sallah', 'com.sadiksalihu.tsarki', 'com.sadiksalihu.littafinhisnulmuslim', 'com.aaarsoftware.fassararlittafinarbaunanawawihausa', 'com.hasbi']",1.0
Yoruba Audio Bible - Old and New Testament,"Genesis to Revelation, downloadable audio, 65% reduced size, bookmark and more.",True,Books & Reference,"100,000+",2370.0,0.0,20M,Rated for 3+,1458.0,"Nov 16, 2015",,False,4.5400844000000005,"['com.felinkotech.superenglishandyorubabible', 'cn.museedu.bibleyoruba', 'com.andromo.dev712412.app997895', 'com.felinkotech.superenglishandigbobible', 'org.wycliffe.pcm.nigerian.pidgin.bible']",2.4
Methodist Hymn Book with Tunes offline,Methodist (yoruba/english) Hymn Book Offline with Tunes and Bible.,True,Books & Reference,"100,000+",861.0,0.0,25M,Rated for 3+,393.0,"Jun 24, 2016",True,False,4.41,"['com.rapture.gospelhymnv2.app', 'com.zabeducation.besthymnsever', 'com.chamathweb.androidapp.christianhymnbook', 'com.robosyslive.hymnstar', 'com.tinanlin.tjc_hymn_en']",2.2.1
AlKur'äni Mai Girma (Hausa),AlKur'äni Mai Girma - Quran in Hausa - Abubakar Mahmoud Gumi,True,Books & Reference,"100,000+",264.0,0.0,8.6M,Rated for 3+,113.0,"Oct 4, 2014",True,False,4.712871,"['com.sadiksalihu.tsarki', 'com.sadiksalihu.sallah', 'com.saifmanstudio.TuranciASaukake', 'com.sadiksalihu.fassararlittafinahdhari', 'en.ha.bestdict']",1.104
SALLAH,Wannan app na Sallah yana bayani ne game da alwala da kuma sallah.,True,Books & Reference,"50,000+",162.0,0.0,1.2M,Rated for 3+,69.0,"Aug 5, 2016",,False,4.7524753,"['com.sadiksalihu.tsarki', 'com.sadiksalihu.fassararlittafinahdhari', 'com.sadiksalihu.littafinhisnulmuslim', 'com.aaarsoftware.fassararlittafinarbaunanawawihausa', 'ru.omdevelopment.ref.quranhausa.free']",1.0
Tarihin Manzon Allah (S.A.W),Tarihin manzon tsira annabi Mohammad tsira da aminci Allah su tabbata a gareshi.,True,Books & Reference,"50,000+",190.0,0.0,6.7M,Rated for 3+,83.0,"Jul 20, 2017",True,False,4.73,"['com.sadiksalihu.littafinhisnulmuslim', 'com.sadiksalihu.fassararlittafinahdhari', 'com.sadiksalihu.tsarki']",2.2
Kalaman Soyayya Hausa Da Turanci,Kalaman Soyayya English and Hausa,True,Books & Reference,"50,000+",101.0,0.0,3.6M,Rated for 3+,42.0,"Jan 13, 2019",True,False,4.49,"['com.aaarsoftware.fassararlittafinarbaunanawawihausa', 'com.hasbi', 'com.sadiksalihu.tsarki', 'com.saifmanstudio.TuranciASaukake', 'com.sadiksalihu.fassararlittafinahdhari']",5.3
Quran - Hausa Translation,The best Quran Hausa  translation application,True,Books & Reference,"50,000+",553.0,0.0,6.7M,Rated for 3+,279.0,"Feb 4, 2018",True,False,4.58,"['com.the_right_way.tafsir', 'com.transliteration.holyquran', 'com.sadaqaworks.yorubaquran', 'com.forummah.quran', 'com.sourcecodetranslator.hausaarabic']",3.3
Baptist Hymnal,The Baptist Hymnal as used by the Baptist Church worldwide.,True,Books & Reference,"50,000+",269.0,0.0,2.2M,Rated for 3+,96.0,"Aug 3, 2015",True,False,4.1,"['com.robosyslive.hymnstar', 'com.ecodia.android.hymnlyrics', 'com.rapture.gospelhymnv2.app', 'cn.museedu.bibleyoruba', 'com.appleeducate.hymns_for_worship']",1.0
Nigerian Evidence Act 2011,"Evidence Act 2011, Laws of the Federation of Nigeria, with full text search.",True,Books & Reference,"50,000+",140.0,0.0,1.1M,Rated for 3+,57.0,"Dec 11, 2014",,False,4.53,"['com.wccrmhscf.hscf', 'com.ssproductions.contractlaw', 'com.pledge51.nigerianconstitution', 'play.shore.thechurchofjesuschrist', 'com.ict.ProtegeMobile']",1.6
Marriage & Matrimonial Acts,"Marriage Act , Matrimonial Causes Act and the Marriages Validation Act.",True,Books & Reference,"50,000+",125.0,0.0,1.1M,Rated for 3+,41.0,"Sep 10, 2015",,False,4.55,"['com.alcaldebibliapps.desire.ages.adventist', 'com.historyisfun.nigeriahistory', 'com.hqbytes.cca', 'com.microsoft.azure.mobileapps.hymobile', 'com.desireofages']",1.0
Littafin Wakoki (Hausa Hymnal),Littafin Wakoki is a Hausa Hymnal that contains Hausa Language Christian hymns,True,Books & Reference,"100,000+",482.0,0.0,6.4M,Rated for 3+,250.0,"Sep 28, 2017",,False,4.74,"['com.ecodia.android.hymnlyrics.hymnlyricsfree_hausa', 'en.ha.bestdict', 'com.dictionary.ha', 'com.hdictionary.ha', 'com.saifmanstudio.TuranciASaukake']",1.1
E-Redeemed Hymn Book Offline,E-Redeemed Hymn Book contain hymns used in christian Worship centers and homes.,True,Books & Reference,"50,000+",245.0,0.0,3.9M,Rated for 3+,107.0,"Jul 11, 2016",True,False,4.44,"['com.hymnals.sourcecodings.cshymns', 'com.gabbitto.MethodistHymnBookOffline', 'com.rapture.gospelhymnv2.app', 'com.catholichymnbook', 'com.robosyslive.hymnstar']",1.0
Nigerian Criminal Code 1990,Criminal Code Act of Nigeria 1990 with full advanced text search.,True,Books & Reference,"50,000+",179.0,0.0,1.2M,Rated for 3+,46.0,"Dec 11, 2014",,False,4.33,"['com.pledge51.nigerianconstitution', 'com.historyisfun.nigeriahistory', 'com.mobobi.yorubaproverbs', 'com.bw.etaxcard.abia', 'com.pbw.lawyerdiary']",1.6
CCC Hymns - Yoruba & English version with mp3,"Read, play MP3 and also download MP3 CCC Hymns",True,Books & Reference,"100,000+",1074.0,0.0,4.8M,Rated for 3+,500.0,"Oct 19, 2017",True,False,4.233645,"['com.hymnals.sourcecodings.cshymns', 'com.felinkotech.superenglishandyorubabible', 'cn.museedu.bibleyoruba', 'com.catholichymnbook', 'net.yorubabible.audiobible']",1.9.0
ABU (Igbo Christian Hymn) -Abu Iji Ekpere Chineke,Abu is an Igbo Christian Hymn app available for Android phones. Easy to use.,True,Books & Reference,"50,000+",630.0,0.0,5.9M,Rated for 3+,379.0,"Dec 26, 2015",True,False,4.33,"['com.catholichymnbook', 'com.felinkotech.superenglishandigbobible', 'com.hymnals.sourcecodings.cshymns', 'com.ebot64.igbocalendar', 'com.catholicdailyreading']",6.19
Ewe Bible Ghana,"Ewe Bible for Ghanaians plus English, Twi Bible, Togo Bible, Hausa and Enjoy.",True,Books & Reference,"50,000+",325.0,0.0,7.5M,Rated for 3+,158.0,"Jan 11, 2020",True,False,4.158416000000001,"['amplified.bible.free.OFFLINE', 'org.wycliffe.pcm.nigerian.pidgin.bible', 'com.french.bible.louis.segond', 'com.smartbibles.smartbibleNiv', 'com.mobobi.holybiblekjv']",1.0.12
Bibeli Alalaye Kikun,Yoruba bible with chain references and dictionary,True,Books & Reference,"50,000+",703.0,0.0,17M,Rated for 3+,375.0,"Apr 23, 2016",,False,4.04,"['cn.museedu.bibleyoruba', 'com.felinkotech.superenglishandyorubabible', 'net.yorubabible.audiobible', 'org.wycliffe.pcm.nigerian.pidgin.bible', 'com.felinkotech.superenglishandigbobible']",1.6.6
RCCG Hymn Book,RCCG Hymn Book is an application with 800+ hymns with midi files/Music sheet,True,Books & Reference,"50,000+",355.0,0.0,41M,Rated for 3+,195.0,"Aug 30, 2019",True,False,4.51,"['com.zabeducation.besthymnsever', 'com.hymnals.sourcecodings.cshymns', 'com.rapture.gospelhymnv2.app', 'com.gabbitto.MethodistHymnBookOffline', 'com.naijasermons']",1.2.3
"Igbo Names and Meanings (Male, Female & Twins)","Get Igbo Names and Their Meanings in English Translations (Boys, Girls, Twins)",True,Books & Reference,"10,000+",47.0,0.0,2.8M,Rated for 3+,18.0,"Nov 4, 2018",True,False,4.914893599999999,"['com.dictionary.ig', 'kjv.bible.free', 'com.felinkotech.superenglishandigbobible', 'com.mobobi.yorubaproverbs', 'bible.commentary']",1.3
Orin Ijomimo,Orin Ijomimo Ti Kristi Lati Orun Wa,True,Books & Reference,"50,000+",250.0,0.0,2.9M,Rated for 3+,116.0,"Nov 14, 2014",,False,4.88,['com.dictionary.yo'],Inspire
Littafin Ahalari Na Warash,wannan application in littafin ahalarine na rubutun hannu na farko aduniya,True,Books & Reference,"10,000+",49.0,0.0,14M,Rated for 3+,13.0,"Mar 16, 2018",True,False,4.877551,"['com.sadiksalihu.tsarki', 'com.sadiksalihu.fassararlittafinahdhari', 'com.sadiksalihu.fassararlittafinkawaaidi', 'com.sadiksalihu.sallah', 'com.aaarsoftware.fassararlittafinarbaunanawawihausa']",1.2.0
The New Liturgy of The Church of Nigeria,"THE ORDER FOR HOLY COMMUNION
OR THE EUCHARIST OF THE CHURCH OF NIGERIA (CONACO)",True,Books & Reference,"10,000+",209.0,0.0,13M,Rated for 3+,110.0,"May 18, 2018",True,False,4.841583999999999,"['com.olawalejarvis.ohheave', 'apps.envision.koinonia', 'com.talentbox.afcquarterly', 'com.oritstudios.cacgo', 'com.felinkotech.superenglishandigbobible']",2.0.3
Only Believe Tabernacle Hymn,A compilation of Endtime believers praise and worship songs.,True,Books & Reference,"10,000+",108.0,0.0,3.1M,Rated for 3+,64.0,"Jun 9, 2018",,False,4.78,"['justicekwesiakuffo.songbooks', 'believers.branham.poetry', 'branham.dreams.visions', 'com.ngambmicheal.thebelieversauthority', 'com.Best.Catholic.App.Mp3.Latin.Catholic.Mass.Songs.Audio.Offline.Ringtone.lyric.english']",1.0
"JumiaPay NIGERIA - Pay Safe, Pay Easy","Airtime Top-up, Utility Bills, Gift cards and much more - All your daily needs!",True,Finance,"1,000,000+",117791.0,0.0,21M,Rated for 3+,69309.0,"Sep 8, 2017",,False,4.349287,"['com.jumia.android', 'com.chippercash', 'ng.jiji.app', 'com.jumiafood.android', 'com.app.ecobank']",4.6.1
Jumia Food: Local Food Delivery near You,"Everything You Need, Delivered Now - Food, Groceries, Alcohol, Pharmacy and more",True,Food & Drink,"5,000,000+",72203.0,0.0,13M,Rated for 3+,15799.0,"Jun 22, 2016",True,False,3.9522903,"['com.yatechnologies.yassirfoodclient', 'com.jumia.android', 'com.jumia.one.android', 'com.cafejavas', 'com.glovo']",5.0.1
